"","Parameter","Value"
"1077","Phycocyanin",0.1
"1078","Phycocyanin",0.1
"1079","Phycocyanin",1
"1080","Phycocyanin",0.1
"1081","Phycocyanin",0.1
"1082","Phycocyanin",1.5
"1083","Chlorophyll",2.87
"1084","Chlorophyll",2.65
"1085","Chlorophyll",3.04
"1086","Phycocyanin",0.55
"1087","Chlorophyll",2.82
"1088","Chlorophyll",2.53
"1089","Phycocyanin",0.1
"1090","Chlorophyll",2.58
"1091","Chlorophyll",2.65
"1092","Chlorophyll",2.55
"1093","Chlorophyll",2.53
"1094","Chlorophyll",3.39
"1095","Phycocyanin",0.1
"1096","Phycocyanin",0.1
"1097","Chlorophyll",3
"1098","Chlorophyll",2.9
"1099","Phycocyanin",0.1
"1100","Phycocyanin",0.1
"1101","Phycocyanin",2
"1102","Phycocyanin",0.1
"1103","Chlorophyll",3.1
"1104","Phycocyanin",0.1
"1105","Phycocyanin",0.1
"1106","Chlorophyll",3.79
"1107","Chlorophyll",2.03
"1108","Phycocyanin",0.1
"1109","Chlorophyll",3.57
"1110","Chlorophyll",3.76
"1111","Phycocyanin",2.5
"1112","Phycocyanin",0.1
"1113","Chlorophyll",3.52
"1114","Chlorophyll",2.45
"1115","Phycocyanin",0.1
"1116","Phycocyanin",0.1
"1117","Chlorophyll",2.68
"1118","Chlorophyll",4.14
"1119","Chlorophyll",2.97
"1120","Phycocyanin",0.55
"1121","Chlorophyll",3.05
"1122","Phycocyanin",0.1
"1123","Phycocyanin",0.1
"1124","Phycocyanin",0.1
"1125","Chlorophyll",2.68
"1126","Chlorophyll",3.22
"1127","Phycocyanin",0.1
"1128","Chlorophyll",3.37
"1129","Phycocyanin",0.1
"1130","Chlorophyll",3.12
"1131","Chlorophyll",3.57
"1132","Chlorophyll",3.17
"1133","Phycocyanin",0.1
"1134","Phycocyanin",0.1
"1135","Phycocyanin",0.1
"1136","Chlorophyll",4.31
"1137","Phycocyanin",0.1
"1138","Chlorophyll",3.64
"1140","Phycocyanin",0.1
"1143","Chlorophyll",0.02
"1144","Chlorophyll",0.07
"1145","Phycocyanin",8.5
"1147","Phycocyanin",1218.49
"1148","Chlorophyll",18.95
"1153","Phycocyanin",1715.33
"1154","Chlorophyll",0.61
"1155","Phycocyanin",240.11
"1156","Phycocyanin",26
"1157","Chlorophyll",18.76
"1159","Chlorophyll",0.47
"1161","Chlorophyll",1.73
"1162","Phycocyanin",18.5
"1163","Chlorophyll",0.1
"1164","Phycocyanin",0.1
"1165","Phycocyanin",3
"1166","Phycocyanin",0.1
"1167","Chlorophyll",1.29
"1168","Chlorophyll",0.75
"1169","Chlorophyll",1.09
"1170","Phycocyanin",0.1
"1171","Chlorophyll",0.82
"1172","Phycocyanin",0.1
"1173","Phycocyanin",4.5
"1174","Chlorophyll",1.19
"1175","Phycocyanin",0.1
"1176","Phycocyanin",1.5
"1177","Chlorophyll",1.44
"1178","Chlorophyll",1.19
"1179","Phycocyanin",0.55
"1180","Phycocyanin",0.1
"1181","Chlorophyll",1.22
"1182","Chlorophyll",1.29
"1183","Chlorophyll",1.32
"1184","Phycocyanin",5
"1185","Phycocyanin",0.1
"1186","Chlorophyll",1.37
"1187","Chlorophyll",0.47
"1188","Chlorophyll",1
"1189","Phycocyanin",0.1
"1190","Phycocyanin",0.1
"1191","Phycocyanin",0.1
"1192","Chlorophyll",1.39
"1193","Phycocyanin",0.55
"1194","Phycocyanin",1
"1195","Phycocyanin",0.1
"1196","Phycocyanin",0.1
"1197","Chlorophyll",1.04
"1198","Phycocyanin",0.1
"1199","Chlorophyll",1.81
"1200","Phycocyanin",0.1
"1201","Chlorophyll",1.19
"1202","Chlorophyll",1.24
"1203","Chlorophyll",1.09
"1204","Phycocyanin",2
"1205","Chlorophyll",0.22
"1206","Phycocyanin",0.1
"1207","Chlorophyll",1.02
"1208","Chlorophyll",1
"1209","Chlorophyll",1.17
"1210","Phycocyanin",0.1
"1211","Phycocyanin",0.1
"1212","Chlorophyll",0.22
"1213","Chlorophyll",0.85
"1214","Chlorophyll",0.87
"1215","Phycocyanin",0.1
"1216","Phycocyanin",0.1
"1217","Phycocyanin",1.5
"1218","Chlorophyll",0.52
"1219","Phycocyanin",0.1
"1220","Chlorophyll",0.52
"1221","Phycocyanin",6
"1222","Chlorophyll",1.07
"1223","Chlorophyll",1.14
"1224","Chlorophyll",1.19
"1225","Phycocyanin",4
"1226","Phycocyanin",2
"1227","Phycocyanin",0.1
"1228","Phycocyanin",0.1
"1229","Chlorophyll",0.62
"1230","Chlorophyll",0.87
"1231","Chlorophyll",0.87
"1232","Chlorophyll",0.65
"1233","Phycocyanin",0.1
"1234","Chlorophyll",0.65
"1235","Phycocyanin",0.55
"1236","Chlorophyll",0.92
"1237","Phycocyanin",0.1
"1238","Phycocyanin",0.1
"1239","Phycocyanin",0.1
"1240","Phycocyanin",0.55
"1241","Phycocyanin",0.1
"1242","Phycocyanin",0.1
"1243","Phycocyanin",0.1
"1244","Chlorophyll",1.02
"1245","Phycocyanin",0.55
"1246","Chlorophyll",1.32
"1247","Chlorophyll",1.22
